,Date,Open,High,Low,Close,Volume
0,2000-01-03,1482.15,1592.9,1482.15,1592.2,25358322.0
1,2000-01-04,1594.4,1641.95,1594.4,1638.7,38787872.0
2,2000-01-05,1634.55,1635.5,1555.05,1595.8,62153431.0
3,2000-01-06,1595.8,1639.0,1595.8,1617.6,51272875.0
4,2000-01-07,1616.6,1628.25,1597.2,1613.3,54315945.0
5,2000-01-10,1615.65,1662.1,1614.95,1632.95,45013949.0
6,2000-01-11,1633.25,1639.9,1548.25,1572.5,49120254.0
7,2000-01-12,1572.3,1631.55,1571.7,1624.8,38364961.0
8,2000-01-13,1627.85,1671.15,1613.65,1621.4,44738447.0
9,2000-01-14,1622.15,1627.4,1591.4,1622.75,43292009.0
10,2000-01-17,1623.5,1668.45,1604.65,1611.6,42683260.0
11,2000-01-18,1611.65,1615.15,1587.85,1606.7,37564199.0
12,2000-01-19,1610.05,1644.45,1608.85,1634.85,42981295.0
13,2000-01-20,1634.65,1644.4,1596.65,1601.1,42625471.0
14,2000-01-21,1601.25,1626.5,1593.2,1620.6,39715905.0
15,2000-01-24,1623.05,1645.0,1608.3,1613.6,34726595.0
16,2000-01-25,1612.95,1613.65,1579.55,1586.4,36881758.0
17,2000-01-27,1600.5,1633.55,1600.05,1603.9,38102878.0
18,2000-01-28,1603.65,1610.9,1592.7,1599.1,46563431.0
19,2000-01-31,1598.35,1598.35,1538.7,1546.2,36153239.0
20,2000-02-01,1546.2,1554.15,1521.4,1549.5,37161352.0
21,2000-02-02,1554.2,1605.9,1554.2,1588.0,39358471.0
22,2000-02-03,1591.25,1616.7,1591.25,1597.9,40826374.0
23,2000-02-04,1598.5,1621.35,1596.45,1599.75,30459542.0
24,2000-02-07,1599.8,1645.9,1599.8,1636.6,34666978.0
25,2000-02-08,1636.6,1676.1,1636.6,1662.75,40722843.0
26,2000-02-09,1666.95,1731.65,1666.7,1689.65,41767017.0
27,2000-02-10,1692.1,1713.7,1692.1,1711.2,30110126.0
28,2000-02-11,1712.85,1771.65,1712.85,1756.0,33406798.0
29,2000-02-14,1777.75,1795.45,1738.75,1744.5,31621011.0
30,2000-02-15,1744.5,1744.5,1694.45,1702.55,39135619.0
31,2000-02-16,1704.85,1742.8,1704.15,1711.1,31314383.0
32,2000-02-17,1710.05,1753.1,1710.05,1742.1,28333952.0
33,2000-02-18,1742.3,1764.15,1713.45,1717.8,24491796.0
34,2000-02-21,1719.55,1767.8,1719.55,1753.5,26015488.0
35,2000-02-22,1754.2,1781.05,1733.55,1739.05,33425078.0
36,2000-02-23,1745.2,1818.15,1689.2,1696.4,27905642.0
37,2000-02-24,1696.4,1751.6,1693.1,1732.0,23492408.0
38,2000-02-25,1734.05,1757.05,1699.25,1710.45,19458640.0
39,2000-02-28,1711.15,1726.65,1670.75,1722.55,27266318.0
40,2000-02-29,1722.85,1783.3,1626.35,1654.8,49498835.0
41,2000-03-01,1661.5,1727.9,1630.0,1712.7,37586272.0
42,2000-03-02,1713.65,1773.85,1690.05,1696.55,42276125.0
43,2000-03-03,1696.45,1719.15,1644.4,1656.0,29500370.0
44,2000-03-06,1656.0,1721.0,1656.0,1688.5,32426509.0
45,2000-03-07,1711.85,1730.85,1684.9,1702.75,36861204.0
46,2000-03-08,1717.75,1765.25,1654.45,1666.35,30249973.0
47,2000-03-09,1667.45,1692.25,1595.45,1646.25,27734646.0
48,2000-03-10,1647.85,1680.45,1588.2,1602.75,23714154.0
49,2000-03-13,1601.4,1645.0,1553.45,1560.7,32025029.0
50,2000-03-14,1561.55,1571.3,1503.2,1567.05,37965722.0
51,2000-03-15,1546.8,1630.95,1538.7,1620.1,28895834.0
52,2000-03-16,1620.4,1621.2,1554.3,1562.2,33981961.0
53,2000-03-21,1563.3,1585.25,1542.65,1556.6,30768798.0
54,2000-03-22,1551.05,1604.0,1551.05,1589.6,26938367.0
55,2000-03-23,1590.3,1629.2,1544.5,1553.4,21308741.0
56,2000-03-24,1554.2,1579.4,1540.45,1569.55,15407574.0
57,2000-03-27,1570.45,1593.3,1555.75,1562.95,19049762.0
58,2000-03-28,1563.3,1575.85,1527.55,1568.6,28174402.0
59,2000-03-29,1569.3,1609.4,1553.4,1558.25,32288722.0
60,2000-03-30,1556.95,1557.85,1489.1,1549.5,38871150.0
61,2000-03-31,1545.55,1545.55,1493.9,1528.45,49680971.0
62,2000-04-03,1528.7,1555.5,1510.75,1534.75,50909584.0
