,Date,Open,High,Low,Close,Adj Close,Volume
0,2005-01-04,11458.269531,11547.019531,11431.570313,11517.75,11517.75,41000.0
1,2005-01-05,11458.919922,11461.099609,11416.969727,11437.519531,11437.519531,77500.0
2,2005-01-06,11372.349609,11492.259766,11372.209961,11492.259766,11492.259766,87100.0
3,2005-01-07,11528.69043,11528.69043,11432.19043,11433.240234,11433.240234,72300.0
4,2005-01-11,11495.459961,11580.69043,11495.459961,11539.990234,11539.990234,87800.0
5,2005-01-12,11537.599609,11548.889648,11449.490234,11453.389648,11453.389648,85000.0
6,2005-01-13,11398.94043,11424.679688,11355.049805,11358.219727,11358.219727,69400.0
7,2005-01-14,11341.799805,11491.179688,11320.490234,11438.389648,11438.389648,111300.0
8,2005-01-17,11475.200195,11535.860352,11453.860352,11487.099609,11487.099609,100500.0
9,2005-01-18,11504.160156,11509.400391,11401.320313,11423.259766,11423.259766,106500.0
10,2005-01-19,11467.740234,11486.929688,11396.429688,11405.339844,11405.339844,89600.0
11,2005-01-20,11335.120117,11335.120117,11259.269531,11284.769531,11284.769531,86300.0
12,2005-01-21,11226.070313,11290.139648,11222.240234,11238.370117,11238.370117,74600.0
13,2005-01-24,11213.030273,11303.209961,11212.629883,11289.490234,11289.490234,75500.0
14,2005-01-25,11261.620117,11276.910156,11214.599609,11276.910156,11276.910156,81600.0
15,2005-01-26,11346.80957,11379.570313,11329.419922,11376.570313,11376.570313,108300.0
16,2005-01-27,11390.089844,11390.089844,11316.299805,11341.30957,11341.30957,85900.0
17,2005-01-28,11334.410156,11340.280273,11218.879883,11320.580078,11320.580078,87800.0
18,2005-01-31,11296.990234,11467.5,11266.089844,11387.589844,11387.589844,88200.0
19,2005-02-01,11422.019531,11422.019531,11330.05957,11384.400391,11384.400391,103900.0
20,2005-02-02,11432.339844,11447.280273,11399.620117,11407.139648,11407.139648,103900.0
21,2005-02-03,11430.900391,11444.179688,11344.410156,11389.349609,11389.349609,102800.0
22,2005-02-04,11381.5,11383.049805,11271.040039,11360.400391,11360.400391,89000.0
23,2005-02-07,11393.040039,11531.25,11381.780273,11499.860352,11499.860352,72700.0
24,2005-02-08,11504.120117,11519.030273,11464.339844,11490.429688,11490.429688,105500.0
25,2005-02-09,11519.900391,11538.129883,11457.959961,11473.349609,11473.349609,111200.0
26,2005-02-10,11434.889648,11553.730469,11414.990234,11553.55957,11553.55957,112200.0
27,2005-02-14,11644.400391,11677.570313,11626.419922,11632.200195,11632.200195,110400.0
28,2005-02-15,11648.679688,11676.259766,11635.570313,11646.490234,11646.490234,75100.0
29,2005-02-16,11629.69043,11684.910156,11585.459961,11601.679688,11601.679688,82800.0
30,2005-02-17,11583.839844,11638.179688,11574.05957,11582.719727,11582.719727,73100.0
